Lab_ID,BANDNUMB,Family,AOU,Com_Name,YR,Season,MO,DAY,ASEX,AAGE,SITE_MST,LAT_DEG,LAT_MIN,LONG_DEG,LONG_MIN,ST,FLYWAY,Cult_Res,Vir_Res,ELISA_Re,PRNT_Res,PRNT_Ttr,,,,,,,,,,,,,,,,,,
US01-0033,8071-71328,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,9,M,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0034,8071-71329,Tyrannidae,4520,Great Crested Flycatcher,2001,Spring,4,9,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0035,8071-71330,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,9,F,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0036,1970-20787,Parulidae,6360,Black-and-white Warbler,2001,Spring,4,10,M,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0037,0972-93022,Columbidae,3200,Common Ground-dove,2001,Spring,4,10,M,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0038,8071-71331,Mimidae,7040,Gray Catbird,2001,Spring,4,10,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0039,1627-04100,Cathartidae,3250,Turkey Vulture,2001,Spring,4,10,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0040,8071-71332,Mimidae,7040,Gray Catbird,2001,Spring,4,10,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0041,0972-93023,Icteridae,4980,Red-winged Blackbird,2001,Spring,4,10,M,SY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0042,0972-93024,Columbidae,3200,Common Ground-dove,2001,Spring,4,10,F,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0043,0972-93025,Columbidae,3200,Common Ground-dove,2001,Spring,4,10,M,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0044,1627-04101,Cathartidae,3250,Turkey Vulture,2001,Spring,4,10,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0045,1627-04102,Cathartidae,3250,Turkey Vulture,2001,Spring,4,10,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0046,1970-20788,Vireonidae,6310,White-eyed Vireo,2001,Spring,4,10,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0047,1511-97638,Troglodytidae,7180,Carolina Wren,2001,Spring,4,10,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0048,2141-83679,Hirundinidae,6140,Tree Swallow,2001,Spring,5,18,M,AHY,GRME,42,23,071,23,MA,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0049,1627-04103,Cathartidae,3250,Turkey Vulture,2001,Spring,4,10,U,AHY,MERI,28,40,080,44,FL,A,NEG,,POS,SLE,1:10,,,,,,,,,,,,,,,,,,
US01-0050,1373-23904,Columbidae,3160,Mourning Dove,2001,Spring,4,10,M,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0051,0972-93028,Columbidae,3200,Common Ground-dove,2001,Spring,4,11,F,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0052,8071-71338,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,12,M,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0053,1373-23906,Accipitridae,3320,Sharp-shinned Hawk,2001,Spring,4,12,F,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0054,0972-93029,Columbidae,3200,Common Ground-dove,2001,Spring,4,12,M,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0055,8071-71339,Mimidae,7040,Gray Catbird,2001,Spring,4,12,U,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0056,0972-93030,Columbidae,3200,Common Ground-dove,2001,Spring,4,12,F,AHY,MERI,28,40,080,44,FL,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0057,1511-97640,Turdidae,7590,Hermit Thrush,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0058,8071-71340,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,20,M,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0059,2240-86318,Paridae,7360,Carolina Chickadee,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0060,8071-71341,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,20,M,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0061,8071-71342,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,20,F,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0062,1511-97642,Bombycillidae,6190,Ceder Waxwing,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0063,1511-97643,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0064,1013-12385,Icteridae,5110,Common Grackle,2001,Spring,4,20,F,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0065,2141-83579,Vireonidae,6240,Red-eyed Vireo,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0066,,Paridae,7310,Eastern Tufted Titmouse,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0067,8071-71343,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,20,F,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0068,,Paridae,7310,Eastern Tufted Titmouse,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0069,1511-97645,Paridae,7310,Eastern Tufted Titmouse,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0070,1511-97646,Paridae,7310,Eastern Tufted Titmouse,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0071,1511-97647,Paridae,7310,Eastern Tufted Titmouse,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0072,1511-97648,Bombycillidae,6190,Ceder Waxwing,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0073,8071-71344,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,20,F,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0074,0972-93065,Picidae,4060,Red-headed Woodpecker,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0075,0972-93066,Picidae,4090,Red-bellied Woodpecker,2001,Spring,4,20,F,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0076,1511-97644,Troglodytidae,7180,Carolina Wren,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0077,1511-97649,Troglodytidae,7180,Carolina Wren,2001,Spring,4,20,U,AHY,CALE,34,45,077,30,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0078,8071-71345,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,21,F,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0079,2240-86319,Vireonidae,6310,White-eyed Vireo,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0080,1511-97650,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0081,1511-97651,Troglodytidae,7180,Carolina Wren,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0082,1511-97652,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0083,1511-97653,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0084,1511-97654,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,POS,NEG,,,,,,,,,,,,,,,,,,,
US01-0085,1511-97655,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0086,8071-71346,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,21,F,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0087,8071-71347,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,21,M,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0088,1511-97656,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0089,8071-71348,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,21,M,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0090,8071-71349,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,21,M,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0091,1511-97657,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0092,1511-97658,Paridae,7310,Eastern Tufted Titmouse,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0093,1511-97659,Paridae,7310,Eastern Tufted Titmouse,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0094,1511-97660,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0095,2240-86320,Vireonidae,6310,White-eyed Vireo,2001,Spring,4,21,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0096,1511-97661,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,22,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0097,1511-97662,Troglodytidae,7180,Carolina Wren,2001,Spring,4,22,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0098,8071-71350,Turdidae,7550,Wood Thrush,2001,Spring,4,22,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0099,8071-71351,Mimidae,7040,Gray Catbird,2001,Spring,4,22,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0100,1511-97663,Thraupidae,6100,Summer Tanager,2001,Spring,4,22,F,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0101,8071-71352,Mimidae,7040,Gray Catbird,2001,Spring,4,22,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0102,8071-71353,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,22,M,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0103,8071-71354,Cardinalidae,5930,Northern Cardinal,2001,Spring,4,22,M,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0104,2240-86321,Paridae,7360,Carolina Chickadee,2001,Spring,4,22,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0105,1511-97664,Paridae,7310,Eastern Tufted Titmouse,2001,Spring,4,22,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0106,1511-97665,Troglodytidae,7180,Carolina Wren,2001,Spring,4,23,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0107,0972-93078,Emberizidae,5870,Eastern Towhee,2001,Spring,4,23,M,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0108,2240-86322,Vireonidae,6310,White-eyed Vireo,2001,Spring,4,23,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0109,1511-97666,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,23,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0110,1511-97667,Emberizidae,5580,White-throated Sparrow,2001,Spring,4,23,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0111,8071-71435,Mimidae,7040,Gray Catbird,2001,Spring,4,23,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0112,2240-86323,Vireonidae,6310,White-eyed Vireo,2001,Spring,4,23,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0113,2240-86324,Vireonidae,6310,White-eyed Vireo,2001,Spring,4,23,U,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0114,0972-93079,Emberizidae,5870,Eastern Towhee,2001,Spring,4,23,M,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
US01-0115,2141-83580,Cardinalidae,5980,Indigo Bunting,2001,Spring,4,23,M,AHY,CROA,35,02,077,03,NC,A,NEG,,NEG,,,,,,,,,,,,,,,,,,,,
